ID,society,area_type,location,Description,availability,price,total_sqft,surface_area,bedroom,bathroom,carport
27,Pesona Verbena,Rumah 7,Babelan,Rumah Spesial Terlaris Tahun Ini,Indent ,455000000,36,60,2,1,1
28,Pesona Verbena,Rumah 8,Babelan,Rumah Spesial Terlaris Tahun Ini,Indent ,455000000,36,60,2,1,1
29,Pesona Verbena,Rumah 9,Babelan,Rumah Spesial Terlaris Tahun Ini,Indent ,455000000,36,60,2,1,1
30,Pesona Verbena,Rumah 10,Babelan,Rumah Spesial Terlaris Tahun Ini,Indent ,455000000,36,60,2,1,1
31,Pesona Verbena,Rumah 11,Babelan,Rumah Spesial Terlaris Tahun Ini,Indent ,455000000,36,60,2,1,1
32,Pesona Verbena,Rumah 12,Babelan,Rumah Spesial Terlaris Tahun Ini,Indent ,455000000,36,60,2,1,1
33,Pesona Verbena,Rumah 13,Babelan,Rumah Spesial Terlaris Tahun Ini,Indent ,455000000,36,60,2,1,1
34,Pesona Verbena,Rumah 14,Babelan,Rumah Spesial Terlaris Tahun Ini,Indent ,455000000,36,60,2,1,1
35,Pesona Verbena,Rumah 15,Babelan,Rumah Spesial Terlaris Tahun Ini,Indent ,455000000,36,60,2,1,1
36,DANISWARA (BLOK A),Rumah 1,Babelan,Rumah paling laris di Babelan,Indent ,490000000,36,60,2,1,1
37,DANISWARA (BLOK A),Rumah 2,Babelan,Rumah paling laris di Babelan,Indent ,503500000,36,63,2,1,1
38,DANISWARA (BLOK A),Rumah 3,Babelan,Rumah paling laris di Babelan,Indent ,521500000,36,67,2,1,1
39,DANISWARA (BLOK A),Rumah 4,Babelan,Rumah paling laris di Babelan,Indent ,550000000,42,70,2,1,1
40,DANISWARA (BLOK A),Rumah 5,Babelan,Rumah paling laris di Babelan,Indent ,572500000,42,75,2,1,1
41,DANISWARA (BLOK A),Rumah 6,Babelan,Rumah paling laris di Babelan,Indent ,586000000,42,78,2,1,1
42,DANISWARA (BLOK A),Rumah 7,Babelan,Rumah paling laris di Babelan,Indent ,610000000,42,89,2,1,1
43,"DANISWARA (BLOK B,C,D)",Rumah 1 ,Babelan,Rumah paling laris di Babelan,Indent ,460000000,36,60,2,1,1
44,"DANISWARA (BLOK B,C,D)",Rumah 2,Babelan,Rumah paling laris di Babelan,Indent ,472000000,36,63,2,1,1
45,"DANISWARA (BLOK B,C,D)",Rumah 3,Babelan,Rumah paling laris di Babelan,Indent ,484000000,36,66,2,1,1
46,"DANISWARA (BLOK B,C,D)",Rumah 4,Babelan,Rumah paling laris di Babelan,Indent ,488000000,36,67,2,1,1
47,"DANISWARA (BLOK B,C,D)",Rumah 5,Babelan,Rumah paling laris di Babelan,Indent ,510000000,45,70,2,1,1
48,"DANISWARA (BLOK B,C,D)",Rumah 6,Babelan,Rumah paling laris di Babelan,Indent ,514000000,45,71,2,1,1
49,"DANISWARA (BLOK B,C,D)",Rumah 7,Babelan,Rumah paling laris di Babelan,Indent ,518000000,45,72,2,1,1
50,"DANISWARA (BLOK B,C,D)",Rumah 8,Babelan,Rumah paling laris di Babelan,Indent ,522000000,45,73,2,1,1
51,"DANISWARA (BLOK B,C,D)",Rumah 9,Babelan,Rumah paling laris di Babelan,Indent ,530000000,45,75,2,1,1
52,"DANISWARA (BLOK B,C,D)",Rumah 10,Babelan,Rumah paling laris di Babelan,Indent ,542000000,45,78,2,1,1
53,"DANISWARA (BLOK B,C,D)",Rumah 11,Babelan,Rumah paling laris di Babelan,Indent ,555000000,45,80,2,1,1
54,"DANISWARA (BLOK B,C,D)",Rumah 12,Babelan,Rumah paling laris di Babelan,Indent ,563000000,45,82,2,1,1
55,BUMI BERLIAN SEJAHTERA 3,Rumah 1,Babelan,Rumah impian harga idaman,Indent ,375000000,38,60,2,1,1
56,BUMI BERLIAN SEJAHTERA 3,Rumah 2,Babelan,Rumah impian harga idaman,Indent ,409000000,40,70,2,1,1
57,BUMI BERLIAN SEJAHTERA 4,Rumah 1,Babelan,Rumah impian harga idaman,Indent ,393000000,36,66,2,1,1
58,BUMI BERLIAN SEJAHTERA 4,Rumah 2,Babelan,Rumah impian harga idaman,Indent ,396000000,36,67,2,1,1
59,BUMI BERLIAN SEJAHTERA 4,Rumah 3,Babelan,Rumah impian harga idaman,Indent ,399000000,36,68,2,1,1
60,BUMI BERLIAN SEJAHTERA 4,Rumah 4,Babelan,Rumah impian harga idaman,Indent ,402000000,36,69,2,1,1
61,BUMI BERLIAN SEJAHTERA 4,Rumah 5,Babelan,Rumah impian harga idaman,Indent ,425000000,40,74,2,1,1
62,BUMI BERLIAN SEJAHTERA 4,Rumah 6,Babelan,Rumah impian harga idaman,Indent ,434000000,40,77,2,1,1
63,BUMI BERLIAN SEJAHTERA 4,Rumah 7,Babelan,Rumah impian harga idaman,Indent ,440000000,40,79,2,1,1
64,BUMI BERLIAN SEJAHTERA 4,Rumah 8,Babelan,Rumah impian harga idaman,Indent ,494000000,40,97,2,1,1
65,BUMI BERLIAN SEJAHTERA 4,Rumah 9,Babelan,Rumah impian harga idaman,Indent ,500000000,40,99,2,1,1
66,GRAND RIZQI EFFENDI RESIDENCE,Rumah 1,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,445000000,36,60,2,1,1
67,GRAND RIZQI EFFENDI RESIDENCE,Rumah 2,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,453000000,36,62,2,1,1
68,GRAND RIZQI EFFENDI RESIDENCE,Rumah 3,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,457000000,36,63,2,1,1
69,GRAND RIZQI EFFENDI RESIDENCE,Rumah 4,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,461000000,36,64,2,1,1
70,GRAND RIZQI EFFENDI RESIDENCE,Rumah 5,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,465000000,36,65,2,1,1
71,GRAND RIZQI EFFENDI RESIDENCE,Rumah 6,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,469000000,36,66,2,1,1
72,GRAND RIZQI EFFENDI RESIDENCE,Rumah 7,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,473000000,36,67,2,1,1
73,GRAND RIZQI EFFENDI RESIDENCE,Rumah 8,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,477000000,36,68,2,1,1
74,GRAND RIZQI EFFENDI RESIDENCE,Rumah 9,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,481000000,36,69,2,1,1
75,GRAND RIZQI EFFENDI RESIDENCE,Rumah 10,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,485000000,40,70,2,1,1
76,GRAND RIZQI EFFENDI RESIDENCE,Rumah 11,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,489000000,40,71,2,1,1
77,GRAND RIZQI EFFENDI RESIDENCE,Rumah 12,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,493000000,40,72,2,1,1
78,GRAND RIZQI EFFENDI RESIDENCE,Rumah 13,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,497000000,40,73,2,1,1
79,GRAND RIZQI EFFENDI RESIDENCE,Rumah 14,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,501000000,40,74,2,1,1
80,GRAND RIZQI EFFENDI RESIDENCE,Rumah 15,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,505000000,40,75,2,1,1
81,GRAND RIZQI EFFENDI RESIDENCE,Rumah 16,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,589000000,40,96,2,1,1
82,GRAND RIZQI EFFENDI RESIDENCE,Rumah 17,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,601000000,40,99,2,1,1
83,PERMATA RIZQI ALAM RAYA,Rumah 1,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,395000000,36,60,2,1,1
84,PERMATA RIZQI ALAM RAYA,Rumah 2,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,403000000,36,62,2,1,1
85,PERMATA RIZQI ALAM RAYA,Rumah 3,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,407000000,36,63,2,1,1
86,PERMATA RIZQI ALAM RAYA,Rumah 4,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,411000000,36,64,2,1,1
87,PERMATA RIZQI ALAM RAYA,Rumah 5,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,415000000,36,65,2,1,1
88,PERMATA RIZQI ALAM RAYA,Rumah 6,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,419000000,36,66,2,1,1
89,PERMATA RIZQI ALAM RAYA,Rumah 7,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,423000000,36,67,2,1,1
90,PERMATA RIZQI ALAM RAYA,Rumah 8,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,427000000,36,68,2,1,1
91,PERMATA RIZQI ALAM RAYA,Rumah 9,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,435000000,40,70,2,1,1
92,PERMATA RIZQI ALAM RAYA,Rumah 10,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,443000000,40,72,2,1,1
93,PERMATA RIZQI ALAM RAYA,Rumah 11,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,451000000,40,74,2,1,1
94,PERMATA RIZQI ALAM RAYA,Rumah 12,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,455000000,40,75,2,1,1
95,PERMATA RIZQI ALAM RAYA,Rumah 13,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,459000000,40,76,2,1,1
96,PERMATA RIZQI ALAM RAYA,Rumah 14,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,463000000,40,77,2,1,1
97,PERMATA RIZQI ALAM RAYA,Rumah 15,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,467000000,40,78,2,1,1
98,PERMATA RIZQI ALAM RAYA,Rumah 16,Tambun Utara,Rumah baru premium cuma 2 juta,Indent ,687000000,40,133,2,1,1
99,BUMI PANDAWA SEJAHTERA 3,Rumah 1,Tarumajaya,Smart Home Living Murah di Tarumajaya (Bekasi),Indent ,478000000,38,61,2,1,1
100,BUMI PANDAWA SEJAHTERA 3,Rumah 2,Tarumajaya,Smart Home Living Murah di Tarumajaya (Bekasi),Indent ,481000000,38,62,2,1,1
101,BUMI PANDAWA SEJAHTERA 3,Rumah 3,Tarumajaya,Smart Home Living Murah di Tarumajaya (Bekasi),Indent ,484000000,38,63,2,1,1
102,BUMI PANDAWA SEJAHTERA 3,Rumah 4,Tarumajaya,Smart Home Living Murah di Tarumajaya (Bekasi),Indent ,487000000,38,64,2,1,1
103,BUMI PANDAWA SEJAHTERA 3,Rumah 5,Tarumajaya,Smart Home Living Murah di Tarumajaya (Bekasi),Indent ,490000000,38,65,2,1,1
104,BUMI PANDAWA SEJAHTERA 3,Rumah 6,Tarumajaya,Smart Home Living Murah di Tarumajaya (Bekasi),Indent ,513000000,40,71,2,1,1
105,BUMI PANDAWA SEJAHTERA 3,Rumah 7,Tarumajaya,Smart Home Living Murah di Tarumajaya (Bekasi),Indent ,516000000,40,72,2,1,1
106,BUMI PANDAWA SEJAHTERA 3,Rumah 8,Tarumajaya,Smart Home Living Murah di Tarumajaya (Bekasi),Indent ,519000000,40,73,2,1,1
107,BUMI PANDAWA SEJAHTERA 3,Rumah 9,Tarumajaya,Smart Home Living Murah di Tarumajaya (Bekasi),Indent ,522000000,40,74,2,1,1
108,MALAIKA SANDRINA TANIA ,Rumah 1,Tambun Utara,Rumah Baru Bagus di Tambun Utara,Indent ,445000000,36,60,2,1,1
109,MALAIKA SANDRINA TANIA ,Rumah 2,Tambun Utara,Rumah Baru Bagus di Tambun Utara,Indent ,449000000,36,61,2,1,1
110,MALAIKA SANDRINA TANIA ,Rumah 3,Tambun Utara,Rumah Baru Bagus di Tambun Utara,Indent ,457000000,36,63,2,1,1
111,MALAIKA SANDRINA TANIA ,Rumah 4,Tambun Utara,Rumah Baru Bagus di Tambun Utara,Indent ,465000000,36,65,2,1,1
112,MALAIKA SANDRINA TANIA ,Rumah 5,Tambun Utara,Rumah Baru Bagus di Tambun Utara,Indent ,477000000,36,68,2,1,1
113,MALAIKA SANDRINA TANIA ,Rumah 6,Tambun Utara,Rumah Baru Bagus di Tambun Utara,Indent ,493000000,42,70,2,1,1
114,MALAIKA SANDRINA TANIA ,Rumah 7,Tambun Utara,Rumah Baru Bagus di Tambun Utara,Indent ,497000000,42,71,2,1,1
115,MALAIKA SANDRINA TANIA ,Rumah 8,Tambun Utara,Rumah Baru Bagus di Tambun Utara,Indent ,501000000,42,72,2,1,1
116,MALAIKA SANDRINA TANIA ,Rumah 9,Tambun Utara,Rumah Baru Bagus di Tambun Utara,Indent ,505000000,42,73,2,1,1
117,MALAIKA SANDRINA TANIA ,Rumah 10,Tambun Utara,Rumah Baru Bagus di Tambun Utara,Indent ,509000000,42,74,2,1,1
118,MALAIKA SANDRINA TANIA ,Rumah 11,Tambun Utara,Rumah Baru Bagus di Tambun Utara,Indent ,513000000,42,75,2,1,1
119,MALAIKA SANDRINA TANIA ,Rumah 12,Tambun Utara,Rumah Baru Bagus di Tambun Utara,Indent ,517000000,42,76,2,1,1
120,MALAIKA SANDRINA TANIA ,Rumah 13,Tambun Utara,Rumah Baru Bagus di Tambun Utara,Indent ,525000000,42,78,2,1,1
121,MALAIKA SANDRINA TANIA ,Rumah 14,Tambun Utara,Rumah Baru Bagus di Tambun Utara,Indent ,533000000,42,80,2,1,1
122,MALAIKA SANDRINA TANIA ,Rumah 15,Tambun Utara,Rumah Baru Bagus di Tambun Utara,Indent ,545000000,42,83,2,1,1
123,MALAIKA SANDRINA TANIA ,Rumah 16,Tambun Utara,Rumah Baru Bagus di Tambun Utara,Indent ,549000000,42,84,2,1,1
124,PERMATA RIZQI SETU 2,Rumah 1,Setu,Rumah cuma 2 juta15 menit ke kawasan industri,Indent ,445000000,36,60,2,1,1
125,PERMATA RIZQI SETU 2,Rumah 2,Setu,Rumah cuma 2 juta 15 menit ke kawasan industri,Indent ,454000000,36,63,2,1,1
126,PERMATA RIZQI SETU 2,Rumah 3,Setu,Rumah cuma 2 juta 15 menit ke kawasan industri,Indent ,457000000,36,64,2,1,1
127,PERMATA RIZQI SETU 2,Rumah 4,Setu,Rumah cuma 2 juta 15 menit ke kawasan industri,Indent ,463000000,36,66,2,1,1
128,PERMATA RIZQI SETU 2,Rumah 5,Setu,Rumah cuma 2 juta 15 menit ke kawasan industri,Indent ,466000000,36,67,2,1,1
129,PERMATA RIZQI SETU 2,Rumah 6,Setu,Rumah cuma 2 juta 15 menit ke kawasan industri,Indent ,469000000,36,68,2,1,1
130,PERMATA RIZQI SETU 2,Rumah 7,Setu,Rumah cuma 2 juta 15 menit ke kawasan industri,Indent ,485000000,40,70,2,1,1
131,PERMATA RIZQI SETU 2,Rumah 8,Setu,Rumah cuma 2 juta 15 menit ke kawasan industri,Indent ,488000000,40,71,2,1,1
132,PERMATA RIZQI SETU 2,Rumah 9,Setu,Rumah cuma 2 juta 15 menit ke kawasan industri,Indent ,494000000,40,73,2,1,1
133,PERMATA RIZQI SETU 2,Rumah 10,Setu,Rumah cuma 2 juta 15 menit ke kawasan industri,Indent ,509000000,40,78,2,1,1
134,PERMATA RIZQI SETU 3,Rumah 11,Setu,Rumah cuma 2 juta 15 menit ke kawasan industri,Indent ,512000000,40,79,2,1,1
135,CAMARA BRISIA,Rumah 1,Babelan,Rumah exclusive cukup bawa berkas,Indent ,535000000,36,60,2,1,1
136,CAMARA BRISIA,Rumah 2,Babelan,Rumah exclusive cukup bawa berkas,Indent ,540000000,36,61,2,1,1
137,CAMARA BRISIA,Rumah 3,Babelan,Rumah exclusive cukup bawa berkas,Indent ,545000000,36,62,2,1,1
138,CAMARA BRISIA,Rumah 4,Babelan,Rumah exclusive cukup bawa berkas,Indent ,550000000,36,63,2,1,1
139,CAMARA BRISIA,Rumah 5,Babelan,Rumah exclusive cukup bawa berkas,Indent ,555000000,36,64,2,1,1
140,CAMARA BRISIA,Rumah 6,Babelan,Rumah exclusive cukup bawa berkas,Indent ,560000000,36,65,2,1,1
141,CAMARA BRISIA,Rumah 7,Babelan,Rumah exclusive cukup bawa berkas,Indent ,585000000,45,70,2,1,1
142,CAMARA BRISIA,Rumah 8,Babelan,Rumah exclusive cukup bawa berkas,Indent ,590000000,45,71,2,1,1
143,CAMARA BRISIA,Rumah 9,Babelan,Rumah exclusive cukup bawa berkas,Indent ,600000000,45,73,2,1,1
144,CAMARA BRISIA,Rumah 10,Babelan,Rumah exclusive cukup bawa berkas,Indent ,605000000,45,74,2,1,1
145,CAMARA BRISIA,Rumah 11,Babelan,Rumah exclusive cukup bawa berkas,Indent ,610000000,45,75,2,1,1
146,CAMARA BRISIA,Rumah 12,Babelan,Rumah exclusive cukup bawa berkas,Indent ,645000000,45,82,2,1,1
147,GRIYA AMARANTA,Rumah 1,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,490000000,36,60,2,1,1
148,GRIYA AMARANTA,Rumah 2,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,520000000,36,66,2,1,1
149,GRIYA AMARANTA,Rumah 3,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,530000000,36,68,2,1,1
150,GRIYA AMARANTA,Rumah 4,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,550000000,42,70,2,1,1
151,GRIYA AMARANTA,Rumah 5,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,555000000,42,71,2,1,1
152,GRIYA AMARANTA,Rumah 6,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,560000000,42,72,2,1,1
153,GRIYA AMARANTA,Rumah 7,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,565000000,42,73,2,1,1
154,GRIYA AMARANTA,Rumah 8,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,570000000,42,74,2,1,1
155,GRIYA AMARANTA,Rumah 9,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,575000000,42,75,2,1,1
156,GRIYA AMARANTA,Rumah 10,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,580000000,42,76,2,1,1
157,GRIYA AMARANTA,Rumah 11,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,590000000,42,78,2,1,1
158,GRIYA AMARANTA,Rumah 12,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,595000000,42,79,2,1,1
159,GRIYA AMARANTA,Rumah 13,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,610000000,42,80,2,1,1
160,GRIYA AMARANTA,Rumah 14,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,615000000,42,81,2,1,1
161,GRIYA AMARANTA,Rumah 15,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,620000000,42,82,2,1,1
162,GRIYA AMARANTA,Rumah 16,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,625000000,42,83,2,1,1
163,GRIYA AMARANTA,Rumah 17,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,630000000,42,84,2,1,1
164,GRIYA AMARANTA,Rumah 18,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,635000000,42,85,2,1,1
165,GRIYA AMARANTA,Rumah 19,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,640000000,42,86,2,1,1
166,GRIYA AMARANTA,Rumah 20,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,745000000,42,107,2,1,1
167,GRIYA AMARANTA,Rumah 21,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,790000000,42,116,2,1,1
168,BLUEBELLS RESIDENCE,Rumah 1,Babelan,Rumah Limited Edition,Indent ,360000000,36,60,2,1,1
169,BLUEBELLS RESIDENCE,Rumah 2,Babelan,Rumah Limited Edition,Indent ,360000000,36,60,2,1,1
170,AULIA GREEN GARDEN,Rumah 1,Mustika Jaya,Rumah cluster exclusive di Kota Bekasi,Indent ,665000000,49,84,2,1,1
171,AULIA GREEN GARDEN,Rumah 2,Mustika Jaya,Rumah cluster exclusive di Kota Bekasi,Indent ,628000000,49,72,2,1,1
172,AULIA GREEN GARDEN,Rumah 3,Mustika Jaya,Rumah cluster exclusive di Kota Bekasi,Indent ,628000000,49,72,2,1,1
173,AULIA GREEN GARDEN,Rumah 4,Mustika Jaya,Rumah cluster exclusive di Kota Bekasi,Indent ,628000000,49,72,2,1,1
174,AULIA GREEN GARDEN,Rumah 5,Mustika Jaya,Rumah cluster exclusive di Kota Bekasi,Indent ,628000000,49,72,2,1,1
175,AULIA GREEN GARDEN,Rumah 6,Mustika Jaya,Rumah cluster exclusive di Kota Bekasi,Indent ,628000000,49,72,2,1,1
176,AULIA GREEN GARDEN,Rumah 7,Mustika Jaya,Rumah cluster exclusive di Kota Bekasi,Indent ,665000000,49,84,2,1,1
177,DUA SEMBILAN RESIDENCE,Rumah 1,Tambun Utara,Rumah Baru Unik & Spek Bangungan Berkelas,Indent ,400000000,36,60,2,1,1
178,DUA SEMBILAN RESIDENCE,Rumah 2,Tambun Utara,Rumah Baru Unik & Spek Bangungan Berkelas,Indent ,460000000,42,70,2,1,1
179,DUA SEMBILAN RESIDENCE,Rumah 3,Tambun Utara,Rumah Baru Unik & Spek Bangungan Berkelas,Indent ,500000000,45,75,2,1,1
180,DUA SEMBILAN RESIDENCE,Rumah 4,Tambun Utara,Rumah Baru Unik & Spek Bangungan Berkelas,Indent ,542000000,42,98,2,1,1
181,DUA SEMBILAN RESIDENCE,Rumah 5,Tambun Utara,Rumah Baru Unik & Spek Bangungan Berkelas,Indent ,543000000,46,94,2,1,1
182,DUA SEMBILAN RESIDENCE,Rumah 6,Tambun Utara,Rumah Baru Unik & Spek Bangungan Berkelas,Indent ,586000000,48,103,2,1,1
183,DUA SEMBILAN RESIDENCE,Rumah 7,Tambun Utara,Rumah Baru Unik & Spek Bangungan Berkelas,Indent ,463000000,40,78,2,1,1
184,DUA SEMBILAN RESIDENCE,Rumah 8,Tambun Utara,Rumah Baru Unik & Spek Bangungan Berkelas,Indent ,438000000,40,71,2,1,1
185,DUA SEMBILAN RESIDENCE,Rumah 9,Tambun Utara,Rumah Baru Unik & Spek Bangungan Berkelas,Indent ,564000000,40,107,2,1,1
186,CLUSTER AERI,Rumah 1,Mustika Jaya,Rumah Cluster 2 Lt. exclusive di Kota Bekasi,Indent ,785000000,66,81,3,2,1
187,CLUSTER AERI,Rumah 2,Mustika Jaya,Rumah Cluster 2 Lt. exclusive di Kota Bekasi,Indent ,770000000,66,75,3,2,1
188,GRIYA SETU PRATAMA,Rumah 1,Setu,Rumah Mezzanine 1 1/2 Lt.,Indent ,480630000,34,66,2,1,1
189,MUTIARA GADING CITY,37/60 Fresia *,Babelan,Rumah exclusive paling laris,Indent ,486000000,37,60,3,1,1
190,MUTIARA GADING CITY,37/60 Fresia UTR/SLTN,Babelan,Rumah exclusive paling laris,Indent ,491000000,37,60,3,1,1
191,MUTIARA GADING CITY,37/60 Fresia TMR,Babelan,Rumah exclusive paling laris,Indent ,501000000,37,60,3,1,1
192,MUTIARA GADING CITY,42/72 Pianta *,Babelan,Rumah exclusive paling laris,Indent ,554000000,42,72,3,1,1
193,MUTIARA GADING CITY,42/72 Pianta UTR/SLTN,Babelan,Rumah exclusive paling laris,Indent ,559000000,42,72,3,1,1
194,MUTIARA GADING CITY,42/72 Pianta TMR,Babelan,Rumah exclusive paling laris,Indent ,569000000,42,72,3,1,1
195,MUTIARA GADING CITY,42/90 Pianta *,Babelan,Rumah exclusive paling laris,Indent ,668000000,42,90,3,1,1
196,MUTIARA GADING CITY,42/90 Pianta UTR/SLTN,Babelan,Rumah exclusive paling laris,Indent ,694000000,42,90,3,1,1
197,MUTIARA GADING CITY,52/60 Clover*,Babelan,Rumah exclusive paling laris,Indent ,786000000,52,60,2,1,1
198,MUTIARA GADING CITY,52/60 Clover UTR/SLTN,Babelan,Rumah exclusive paling laris,Indent ,794000000,52,60,2,1,1
199,MUTIARA GADING CITY,62/84 Bluebell BRT,Babelan,Rumah exclusive paling laris,Indent ,975000000,65,84,3,1,1
200,MUTIARA GADING CITY,62/84 Bluebell TMR + TMN,Babelan,Rumah exclusive paling laris,Indent ,1031000000,65,84,3,1,1
201,KOTA BABELAN PERMAI,Rumah 1,Babelan,Rumah baru bebas BI checking,Indent ,390000000,36,60,2,1,1
202,KOTA BABELAN PERMAI,Rumah 2,Babelan,Rumah baru bebas BI checking,Indent ,365000000,42,72,2,1,1
203,PESONA VISCANY,Rumah 1,Babelan,Rumah sehat dengan sirkulasi dan pencayahaan optimal,Indent ,430000000,36,60,2,1,1
